	2562
Alireza Kavianpour	59581
Radhika Sivaramakrishna	2781
Johannes Ruscheinski	88906
Dinei A. F. Florêncio	2472
De-Ron Liang	141344
John Cooke	71907
Nicolas Delhomme	91600
Weixuan Xu	53252
Gerald Lirk	91289
Dennis R. Moreau	148956
Francisca Losavio	29933
Alexander A. Pasko	8099
Claudio Alvarez	150933
Robert Clarisó	150342
Albert K. H. Kwan	93218
Peter Uetz	85071
Yunlong Gao	66421
Shahriar Shahriari	141373
Raymond Couture	118788
Hongzhi Lin	109260
Ta-Hsiang Hu	158795
H. Brendan McMahan	121921
Wen-Li Lee	21417
Mingwei Xu	109862
Bertrand Lacotte	1698
Aviv Regev	35144
Roger D. Kouyos	102279
Stuart P. Goring	144352
Thorsteinn S. Rögnvaldsson	81128
Michel Banâtre	125205
Ernie Croot	17695
Liat Ben-Sira	115302
Jirí Markl	138272
C. A. Adesanya	15559
Ivan K. Huang	92290
Stefan Schmidt	34321
Johann Sukkau	62553
Elena V. Akhmatskaya	162293
Diego R. Llanos Ferraris	154139
Shimon Marom	104117
Chieh-Yuan Tsai	52794
Phuong Vu	154440
Ryoji Kawamichi	26959
Erick Desmarais	88928
Carles Garrigues	130302
Eric McDermid	117292
Tien Van Do	125877
Imadeldin O. Mahgoub	29094
Cosmin Grigorescu	1165
Tadashi Minowa	157344
Gabriel A. Silva	68913
Chris Charnes	122373
Antoni Soto-Riera	7548
Shaun D. Jackman	87135
Leonid Pishchulin	50541
Masayuki Nakazawa	152694
Sebastian Bauer	84178
Nikos Argiriou	128412
Aye Aung	21335
Michela Farenzena	38626
Stephan Vladimir Bugaj	127514
Feng-Wen Sun	157177
Mei-Ju M. Chen	97247
Rudolf Gorenflo	18901
Jose Maria Ferrero	112888
Jaak Panksepp	105836
David E. Breen	6631
Max Craglia	33067
Nancy A. Day	151781
Roger Labahn	120778
Richard M. Neve	85758
Alain Marchal	15767
D. van der Knijff	148716
A. Espinosa	110831
Joseph Landa	44501
Guisheng Li	89174
Ivan Basov	120660
Leo Lopes	118615
Serhat Selcuk Bucak	49321
Lujun Wang	10839
Geoff Fernie	111698
C. Print	84120
Sandra Zilles	35750
Pawel Cichosz	111058
Carlo Toffalori	120144
T. Hoang Ngan Le	49470
Angela Feistel	140890
José A. Moreno-Pérez	56377
Zhanpeng Jin	113280
Chun-Hsiang Huang	11609
Weiwei Kang	157893
Yan-Xiu Zheng	131208
Chris A. Brackley	102778
Evelyne Contejean	124748
Amalia Ortiz	26670
Ian A. Newman	32823
T. H. Fan	2002
David A. Pelta	40559
Hiroshi Masuya	87321
Herman W. Raadsma	98543
Luciano Bononi	72943
Guido Minnen	36981
T. H. Fay	45067
Rui Yin	134617
Robert M. Nishikawa	49318
Nasser Saheb-Djahromi	123596
Kim Boyer	62551
Janne Korhonen	87177
Yves Caron	48758
R. James Firby	54085
Rui Zhang	12997
Chih-Hung Jen	84878
MoonSoo Chang	21869
Michael J. Aminoff	113529
K. C. Gupta	55960
Michelle Hepner	148426
Nir Kfir	102837
Ethan K. Jackson	151697
Naama Elefant	90266
Donald Doherty	96079
Robert L. Morrison Jr.	3819
André Dittmar	111617
Bérenger Stival	33344
Yunfei Yin	109872
Gordon A. Manson	160939
Loÿs Thimonier	120595
Laurence Loewe	96880
Gilles Perrouin	151800
Fabio Massimo Frattale Mascioli	20107
Yong Gao	36297
Hui Rao	17100
Britta Denner-Broser	17938
Richard Michelmore	88077
Jon Brunvoll	121100
Christopher D. Tomlinson	101275
K. Kraus	59244
Jonathan C. L. Liu	136091
Wen Hong	109515
Avneesh Sud	27134
Stéphane Ubéda	45685
Barrett W. Thomas	119077
PooGyeon Park	7527
Lih-Ching Chou	91456
Xiao-Lan Fu	25288
Kojin Yano	121947
Hao-Hua Meng	96594
Gideon Stupp	152935
Amin Zollanvari	20799
Jaime Valls Miró	107498
Jan Oksanen	67536
Ganesh Bikshandi	163313
Mohamed Sellami	151364
M. Godbout	132545
Chung-Nim Lee	59313
Duraisamy Sundararajan	1006
Masaki Naito	14830
A. L. Narasimha Reddy	130280
Mauro Negri	28898
Ozgur Oyman	130686
Gabriel Aparício	85240
Miguel Ángel Sainz	26316
Ana Susperregui	26530
Peter Gregor	71744
Elif Bozkurt	16239
Juan D. Cañete	98521
Dingjia Xing	59402
Fabio Roli	22564
Zhi-Ping Feng	97446
A. G. Alagu Priya	139033
Pablo Arancibia	133821
Shikharesh Majumdar	137739
Emilie Charrier	123552
Sándor Szalma	101484
Stephen J. Carver	32815
Leonor Prensa Nieto	145170
Lavanya Dhanapalan	101759
José Ramon Méndez	52567
Tao Ruan Wan	25094
Paul Robson	101836
S. V. Rao	47394
Efthimia Aivaloglou	140832
Karthik N. S. Iyer	29781
Kiminobu Sugaya	112760
Geun-Cheol Lee	95659
Y. Shi	156937
Kuen-Long Lee	58989
Li Wenzhi	160793
David D. Sampson	159478
Vivien Chappelier	3434
Eider Sanchez	67486
Mingqiang Wei	11229
Melissa J. Smartt	152673
Kejia Xu	100405
Louis Anthony Cox Jr.	121017
Filippo Aldo Grassia	138331
Shengtao Pan	21175
Atul Sudhalkar	8431
Y. Mao	2036
Symon Cotton	115035
Carole Delporte-Gallet	152981
Haihua Feng	959
Richard A. Brualdi	120848
Antoine Roueff	19637
Mohamed Bouguessa	60760
Pablo Soberón	17777
Radu Zmeureanu	27471
Dolf Trieschnigg	85896
Sebnem Duzgun	32631
Sabato Mellone	113736
J. Wayne Spence	29599
Jan Blom	72140
Holger Bosch	41194
Tina P. George	99170
Biswajit Das	62699
Azzam Fouad George Taktak	42208
F. K. Soong	15697
Olivier Poirot	82828
Felix T. S. Chan	51562
Eduard Ayguadé	128409
Dag Normann	120106
ChengYan Ma	109978
Yingchong Situ	156425
Matthew S. Everitt	40813
Robert P. Hebbel	83066
Thangavel Alphonse Thanaraj	93820
Feng Wenhao	45808
Trym Holter	14872
Boris E. Shakhnovich	93699
Kimmo Kallio	79885
Duck O. Kim	63797
Amor Lazzez	137840
Chun-Chieh Lee	61335
Jin Hyuk Kim	94501
Gyudong Lee	30487
Jay Lundell	71458
Martha Evens	36888
Klaus Schossmaier	152927
Huishan Zhou	122450
Angelo Cangelosi	43859
Ravi Shankar	27581
David Ly-Gagnon	150572
Jean-Hsang Lin	1973
Kazunori Ikebukuro	94684
Emmanouel A. Giakoumakis	29135
Mingli Song	5732
John D. Hunter	68944
Caroline Clemens	13838
Iman El-Azab	90556
Kazuki Mikami	69832
Paul M. Cohen	148034
Cristina Muñoz-Mulas	66743
Tosifusa Toda	98206
David Nguyen	104388
Peter J. M. Van Haastert	106500
Chia-Wen Lin	5447
Kenichi Mukaisho	87613
Juan C. Pelaez	145427
Anthony J. T. Lee	38990
Jeff Mackie-Mason	52371
Nicholas D. Schiff	105840
Juan C. Ag����	160670
Mervyn Jack	15516
Shahriar Lotfi	153477
Jung-Bong Suk	134838
Jakob Hoydis	133398
Zhengrui Jiang	52996
Zhen-Hua Ling	16030
Biren Shah	160053
David D. Linz	150060
Jennifer Shoemaker	79739
C. W. Oosterlee	161677
Güvenç Sahin	119520
Ling Chen	45189
Zhike Zi	81436
Douglas F. Easton	97392
Vinay Uday Prabhu	143503
Johan Mazel	139534
Sean S. Wang	90081
Jörg Polzehl	115553
Craig Haimson	71994
Berk Canberk	130626
Tan Shan	4041
Kee-Sung Lee	53341
David N. C. Tse	158669
Jeffrey G. Ojemann	103608
Frédéric Bosché	27774
Brigitte Forster	4801
Donald G. Moore	32880
Masahiro Hori	126435
Carlos P. Sosa	163201
An-Min Zou	65661
Stavroula Siachalou	127563
Silvio Souza	147439
Gregory Kucherov	90410
Ping Xuan	89465
Chris McDonald	137429
Jerome Yeh	64014
Yantao Zheng	24733
Xiao-Jing Zhong	57262
Kannan Karthik	50617
Jerome Yen	52362
Eduardo do Valle Simões	60300
A. W. Jessup	26130
Philip E. Norgren	47113
Toshihide Miwa	24005
Baris Güldali	152380
Monica S. McAndrews-Hill	96669
Mauro Femminella	125267
Alessandra Fanni	62880
H. Beck	44978
Irit Shitsevalov	117823
A. König	126147
Sylvain Boltz	4603
Ari B. Kahn	84299
Wonmuk Hwang	102744
Yi-Zhe Song	4969
Philip K. McKinley	51277
Donald Young	156255
S. Nashat	62548
Nick Gravin	17915
Heidi J. C. Ellis	94618
Chiou-Shann Fuh	647
Christopher P. Thompson	162599
Mike Morrell	152077
Giovanni Marino	160265
Mansour Zand	147326
Jacques Guálat	141964
Jerzy Jurka	39583
Seema Hiranandani	155447
Farida Tripodi	104074
Yinghui Li	98177
Xu Peng	93085
Norman C. Hutchinson	155035
Vlatko Beanovi	60508
Sonja Wendel	30242
M. Aissiou	111290
Guosui Liu	48339
Edward A. Wasil	51382
A. V. Pohm	127263
Kathy L. Rowlen	81626
Chafic Mokbel	14507
Armin Iske	18569
John M. Marberg	116750
Sang Ho Lee	116713
Minsu Ahn	25170
William R. Atchley	85464
Dimitris Papageorgiou	10123
Ilario Filippini	128938
Jarbas J. de M. Sá Junior	50209
Martin Bürkle	125523
Jae H. Park	153471
Joke Dorrepaal	58380
Miguel A. Vega-Rodr��guez	156265
Han Li	52936
Michael B. Healy	164132
Johnson Y. S. Luh	45572
Haichao Zhang	6236
Roland Wessäly	141658
Yunzhao Li	130319
Günter P. Wagner	36358
Yi Cheng	41348
Ingwar Wirjawan	142692
Jian-Jun Han	59487
Kyoung-Yun Kim	7571
David A. McAllester	34906
Ryan R. Rahrig	88378
Michel Benaroch	118822
Reza Aghaeizadeh Zoroofi	48369
Sharad C. Seth	31816
Siba N. Mohanty	148953
Alex Goh Kwang Leng	111430
M. Loog	65682
Jean-Pierre Chevallet	24853
Michael Sherback	103252
Mark Junjie Li	49836
Stephen Se	107658
Antonio Juárez	70993
Yunlei Li	48704
Nikolaos Vasiloglou II	146151
Radu S. Jasinschi	113539
Giacomo Morabito	11566
Zenggang Lin	62459
Ulrich Schäffer	136006
Mohammad K. Jubran	4166
Andy Colebourne	71196
Mehdi Benkhelif	44640
Josep Vidal	19091
Takanori Kudo	129820
I. Maria Johnson	97638
Christopher R. Gent	41851
Angela M. Pagano	40440
Jan Strunk	37190
Jose-Luis Blanco	107335
Seiji Sugita	44476
Maria Saile	100156
Jung Jang Kwon	59693
Robert J. Shillman	44900
Qiao Li	113692
Robert D. Levine	36829
D. A. Taft	15920
Shuli Kang	85294
Mark J. Walker	100112
Lakhmi C. Jain	59677
Christian Wolff	31180
Vassilis Tsaoussidis	128301
Juong-Sik Lee	72980
Lars Steinbrück	105344
David J. Hand	39356
Moshe Kam	37670
Emmanuel Nuno	107332
Krish Purswani	54446
Ratthachat Chatpatanasiri	66346
Feng Luo	8774
Jonathan Apodaca	154763
Swastik Kopparty	124867
J. L. Alves	9986
Ren Guo	11234
Gunnar L?thén	6380
Massimo Franceschetti	132921
Masahiro Morikura	142864
M. Berry	160897
Lothar Baum	136402
Gaëlle Loosli	35327
Renchao Xie	141059
Huw D. R. Golledge	64212
Vimal Singh	20558
King-Tim Mak	121935
Sekhar Darbha	153098
Odile Marcotte	121658
Mustafa Diken	106731
Joseph L. Gabbard	89700
Pingzhao Hu	93102
Michael Walker	144510
John Novatnack	34616
Ida-Maria Sintorn	60303
Huub van de Wetering	26832
Erik R. Resnick	135523
Christopher Geyer	23639
Yanli Ren	5978
Charles Bloom	25526
Olivier Y. de Vel	44655
Hovhannes H. Mkrtchian	42685
Fernando Pérez-González	1359
Feida Zhu	67649
Robert L. Van Uitert Jr.	114150
Dae Young Kim	160417
Hongmei Deng	142505
Valery P. Ipatov	157601
Yao-Chung Chang	137896
Harish Viswanathan	131886
Agustín Gravano	37384
Richard Walker	50899
Michael Van den Bergh	34247
Christoph Forman	115248
Debin Gao	145844
Ravinder Chandhok	70223
James E. Hicks	158287
Teresa Serrano-Gotarredona	42818
Edo S. Van der Poort	121851
Vinod Menon	103052
Yi-Hsin Lin	157845
Gorthi R. K. Sai Subrahmanyam	4319
Chris Benner	92670
Tulio de Oliveira	81991
Diana Bernal	88107
Klaas Hartmann	100372
Adolfo R. de Soto	56668
Kozo Okazaki	46781
Del Jensen	70747
Xiaopeng Xiong	28229
Balaji S. Srinivasan	101682
Brynn H. Voy	100279
Ted Taekyoung Kwon	129497
Olivier Bousquet	34864
Muzhou Xiong	24977
Maximilian Bisani	14365
Chutima Boonthum	137883
Pieter H. Been	13780
S. Jeyaseeli Subavathi	66053
Hamid Zarrabi-Zadeh	117163
Alan Chapman	125086
Alessandro Ambrosi	105731
Anqi Zhu	130619
Harald Günzel	16974
M. Okan Irfanoglu	48555
Scott T. Acton	54
Gang Zheng	9390
Shyh-Kwei Chen	147912
Niti Madan	164203
Song Cao	9007
Eric McAdams	111616
Noah J. Cowan	103916
Kálmán Palágyi	11193
Christopher D. Gill	74777
Chun-ming Lu	162644
Sudhakar Ganti	129035
George N. Phillips Jr.	83845
Ana Paula Couto da Silva	128814
Michael James Katchabaw	136028
Patrizia Boracchi	41166
Ryan Eustice	107288
Martin L. Miller	83413
Inci Cetindil	88579
Andrew J. Roger	81744
B. Velani	111736
Hila Etzion	53707
Philip Perry	139742
Seyyed Ali Seyyedsalehi	16197
Michael V. Teplitsky	93698
Ioannis Boniatis	112909
Qinghua Zeng	62601
Yasuyuki Ishii	84200
Andrew James Armstrong	46166
Zhiwei Lin	9987
Shoichiro Iwasawa	74017
Umberto Giani	110853
Michael Kayser	58619
Cate Cox	40923
Cheng-Tsung Lee	78651
Kil-Houm Park	47200
John Jack	40733
Meijing Zhang	26978
E. Montiel	9977
Pere Barlet-Ros	129134
Dazhi Jiao	94823
A. P. Shivaprasad	45743
Scott L. Miller	1082
Yipeng Yang	66487
Michele D. Carpenter	107310
Remco van der Hofstad	130794
Joshua Garcia	150407
Bojan Milosevic	74637
Gwanggil Jeon	5562
Timo Kostiainen	63826
Sara J. Graves	2675
Amin A. Shoukry	45557
Jesús Gutiérrez-Gutiérrez	21859
Liping Yuan	17403
Ludovít Niepel	121712
Rao Gullapalli	108850
Yann Cointepas	45358
Jonathan Dinerstein	24475
Eleni Stroulia	52886
Thomas R. Gross	155152
Andrés Marino Álvarez-Meza	62292
David R. Kaeli	153600
Yannig Goude	40190
Silke Paulmann	16210
Andre Franke	88294
Joachim M. Buhmann	1356
Robert A. Kuschner	106871
Andrea Garulli	107698
Kuniyuki Kakushima	109605
Venkat Anantharam	68089
Kamalika Chaudhuri	35834
Douglas J. Dudycha	32878
Y. Yoshida	56991
P. Krishnamoorthy	16063
C. Greg Plaxton	39561
Ying Wen	48537
Lilia Gzara Yesilbas	9099
Heon Young Yeom	11651
Haralambos Michail	153397
Ying Wei	94726
Sally R. Partridge	89462
V. V. Pickalov	22348
Y. Theodorou	57017
Jochen Denzinger	73798
Hea-Sook Park	130488
Michel Paindavoine	18426
Yuanhao Chen	34449
Chi F. Fling	41169
Muthucumaru Maheswaran	142627
Abdollah Homaifar	55892
Leonard E. Miller	159340
Anthony Morse	43908
Eric H. Baehrecke	92625
Samuel Mimram	120296
Karim Abdel-Malek	6482
Edwin Engin Yaz	19884
A. W. K. Loh	46747
Hong-Bin Fang	97645
M. Janani	130764
A. Rakotomamonjy	21946
Yupin Luo	8748
M. F. Wrigley	7264
Michal Szulc	44458
Dayun He	127234
Thomas Z. Lauritzen	63897
Ali R. Hurson	72549
Kaushik Josiam	131003
Ambra Molesini	150541
Jung Soo Kim	113085
John D. Kelleher	37267
Sivasubramaniam Ramanan	42618
Kimmo Fredriksson	59200
Osamu Nakamura	47037
Philip Rees	31401
Felix Breuer	17742
Kyung Ho Jang	26518
Igor Durdanovic	67697
Mohammad M. Nadeem	155762
Ilan Shimshoni	23958
David Sammon	30737
Jacob Ginzberg	144272
Marc Hafner	103170
Arnau Erola	150951
Benny K. Nielsen	141572
Olivier Commowick	114301
Thilmee M. Baduge	139318
Buyue Zhang	4075
Ruma Banerjee	104762
Jerzy Gorecki	40508
Eric P. Xing	35441
Robert M. Mattheyses	79165
Ronald C. Read	122137
Xavier Goaoc	16599
Shuning Wang	67140
Giuseppe Castagna	124706
Waranyu Wongseree	99048
Thomas B. Schillen	68731
David D. Murphy	159357
Kil-Taek Lim	47148
Timothy Sawah	138724
Sarah E. MacPherson	72238
Ehsan Zare Borzeshi	50736
Miroslawa Skowronska	123154
Andrej Bratko	35229
Martin Meier-Schellersheim	102633
Viacheslav Chernoy	153004
Ashok Rajaraman	91983
Stuart J. Tetchner	88602
Xuepo Ma	100939
Ralf Blossey	83137
Philippe Jégou	121404
Gilles Venturini	36470
Pascal Jaisson	129001
Dae-Young Seol	158191
Masao Yanagisawa	83295
Timo von Oertzen	64948
Peter Mutschke	31160
Bruce A. Bobier	115928
Xiaoping Li	46620
Rimon Elias	6026
Lior Pachter	17105
Michael J. Carlin	42759
Diana Rajan	89339
Valerio Martini	139206
Roger D. Kamm	106383
Michael D. Alder	58708
Swades De	125831
Katharine Keiter	47963
Maxime Lhuillier	33710
Manuel Odendahl	73360
Jan Ramon	27535
Hans De Meyer	11692
Abhinav Acharya	142238
Matthew Denny	29029
J. J. Modi	162150
Paolo M. Soardi	123054
Zhang Zhengming	8525
Alan C. Nelson	49121
Friso Penninga	28274
A. Karim Abu-Affash	141033
Nicolas Brunel	19516
Dieter Scheerer	162223
Randy Thresher	113080
Ozgur Turetken	30892
Giuliana Franceschinis	79524
Stephen Gould	34169
Toon van Waterschoot	20600
Randy Diehl	14450
Qian-Ping Gu	115628
Carlos Delgado	75612
Cheng-Hung Ko	3629
E. Neron	149538
X. Gao	4410
Peter Williams	135998
Francis Wlazinski	122166
A. Rayes	160342
Stefano Bonassi	88368
Nelson S. Rosa	73784
Deqing Sun	3923
U. Raudkivi	45927
Kibaya Erisania	53925
Timothy Starkweather	162702
Tomer Amiaz	33468
Flavia Colonna	4368
Priyanka Prakash	102305
Paul Yung	52026
Deepak Grover	78260
Satoru Emura	18700
Sami Dhahbi	59291
Robert K. Powalka	47282
Alexander Smith	86155
Ulrika Bennerstedt	70561
David Modrie	19507
Wen-Yan Chang	4063
Jie Ma	99351
Geoffrey H. Kuenning	73578
Alessio Zappone	134499
Gregory Yashchin	23570
Todd A. Burckin	104364
Paolo Gastaldo	62061
John P. Robinson	77987
Zhenjiang Xu	89151
Phillip Barry	152487
Oliver Benke	139713
Ryutaro Fukumura	93169
Frank K. Soong	13519
Timothee Cezard	100167
An-Guo Peng	20984
Ives Macedo	11172
Antony Mathews	123668
Paul Chow	25726
Xiaobei Liu	143587
Richard Briggs	21339
Daniel Sandler	145888
Yingguang Li	27835
Lawrence G. Brown	68193
Antoine Petitet	162700
Ian Kerr	126178
Philippe Grégoire	118667
Ayman Radwan	14111
Luigi Buonaguro	96694
Jeonghee Kim	114157
Jonathan Sillito	147064
Frédéric Lardeux	36389
Yasuo Watanabe	156062
Bryan Bentz	44866
Henrik Schløler	42656
Arvind Pandey	48050
Steve M. Potter	102138
José L. Verdegay	36095
Ryohei Nakano	41138
Shumin Fei	21676
Sophie Sacquin-Mora	106104
Sándor Szedmák	35347
Jiunn-Hwa Yu	135249
Mikhail Zaslavskiy	85974
D. L. Bonner	6711
Harry DeMaio	143898
C. A. Middelburg	120165
Kwang-Ting Cheng	12929
John R. Wright	38245
Jihong Du	63972
Kristian Lindgren	50852
Salvatore Cavalieri	41267
Khurram Sajid	117993
Harald Singer	15486
Seungwon Choi	133894
Yaroslav O. Halchenko	68463
Niels Korsholm Petersen	127214
Helen E. Savaki	66675
Srinivas Ramachandran	89898
Alain Le Méhauté	10376
Mohammad B. Menhaj	21206
Nicklas Beijar	126589
Güzin Bayraksan	119580
G. Coman	10234
Cees Snoek	11869
Yves D. Jean	38798
Jennifer A. Saleeba	78924
Leo Chin Sim	162409
Xiang-Yang Wang	50022
Nadine Werner	80328
Olivia Sanchez	33407
Laurent Legendre	91826
Lutz-Peter Nolte	113965
I. Dennis Longstaff	2301
Laura Celentano	142675
Timothy J. Long	120356
Hede Helfrich	15808
Chien-Hsiang Tai	159428
Bo-Yuan Ye	59436
Yan Ye	3263
Fatma Güler	9904
Igor Pernek	89592
Philippe Garcin	15790
Yannis Klonatos	155142
Giovanni d'Avossa	43274
James R. Slagle	46538
C. Watterson	147253
Barbara M. Farwell	125987
Rolando Palmero	64310
Benjamin Wester	155208
Nicholas J. Baas	157097
Sanguk Kim	102729
Gil Santos	62491
Paul D. O'Grady	65721
Marit Köhntopp	125737
Barry Wittman	117452
Michael Hild	45978
Sanaâ El Atia	88234
Janick V. Frasch	62234
Rick Lewis	7848
Manuel Kolp	69754
Margaret Moorefield	123483
Hany Farid	1035
Dan Boneh	36108
Beth A. Sproule	56074
George A. Mihaila	125014
Jan Fischer	139176
Aihua Mao	9100
S. Behdad Hosseini	156788
Ngo Thanh Son	85435
M. Rupf	159380
A. A. Onayade	70248
Hei Leung	96752
Vikas Nanda	103870
Stig Skelboe	161634
Peitsang Wu	64814
Anja O. Saura	93764
Kevin Rasmussen	51602
Sri Abhishikth Mallepudi	12464
Lin-Chuan Wu	149543
David William Pearson	64263
Marvin Theimer	140530
Bernd Hamann	7332
Robert Blelloch	95183
Guillem Femenias	132356
Jeanette N. McClintick	93389
T. Vencel	132565
Ping-Wen Ong	33984
Laurent C. Duval	25655
Hsun-Hsien Chang	98898
Jan Elseberg	38627
Jeff P. Reeve	81027
A. D. Ludovico	8872
Boaz Rafaely	13960
King Tong Lau	113286
J��rgen P. Schulze	162463
Antonis Karidis	70294
L. Dalla	16784
Richard O. LaMaire	140372
Stas Rozenfeld	141524
Jefferson Terry	100179
S. F. Chan	136298
Vikram Chandrasekhar	133271
Kiyoharu Hamaguchi	117972
Julien Mairal	4029
Kyung-hyun Yoon	26689
Julian Gough	78211
Linda Candy	71816
David Habier	100522
Sonia Ben Mokhtar	143065
Juan J. Segovia	53422
Cécile Capdessus	22055
Bernard Chiu	114376
Rudwan Abdullah	64996
Ali A. Zaidi	158108
Giorgio Zoia	12000
Jeremy D. Buhler	82266
Ashok Srinivasan	26051
James Heather	92371
Chan Pyng Lai	58758
Meinhard Münzenberger	31177
Stefan Bucur	155204
Jae-Hyun Hwang	149910
Matthew P. Davy	128900
Chengbi Zhao	9792
Rhan Ha	129373
Malcolm S. Casale	6803
Charles E. Wickersham	77594
Oscar Saz	15864
H. Bohl	10140
Marc Lupon	164372
Peter Braß	16653
Maria-Ana Simonet	103968
Pascal van Lieshout	14231
Danae Stanton Fraser	74084
Kannan Tharakaraman	82707
George T. Tsangaris	85384
Hang T. Nguyen	66432
Siegfried Florek	151396
Sridha Lucey	11596
Alexandre Capeletto Scaglia	87559
Eric H. Davidson	92603
Kostas Gratsias	28444
Jaekwon Kim	131891
Hui Xia	139450
Krishna Narayanan	158888
Dekun Hu	143246
Theodore Alexandrov	6164
Michelle Montgomery Masters	74077
Cem Hocaoglu	36278
Jens Dibbern	29766
Robert B. Fireworker	135520
Shana Smith	28090
A. Collette	77081
Dave A. Baker	112023
